id,bloco,tema,subtema_edital,pergunta,opcao_a,opcao_b,opcao_c,opcao_d,opcao_e,correta,explicacao
24,Censo,Instrumentos de trabalho e navegacao em campo,Apostila - Cap. 6 e 7,NAO e um instrumento de trabalho do Recenseador:,Mapa do Setor Censitario,Descritivo do setor,Mapa Municipal Estatistico (MME),Dispositivo Movel de Coleta (DMC),Carteira de trabalho do produtor rural,E,"Os instrumentos citados sao mapa do setor, descritivo, MME, DMC e Manual do Recenseador."
25,Censo,Instrumentos de trabalho e navegacao em campo,Apostila - Cap. 6 e 7,"Sobre o perimetro do setor censitario, e correto afirmar:",O Recenseador pode ajusta-lo se achar necessario,O Recenseador nao pode alterar o perimetro do setor em hipotese alguma,"So o ACS pode altera-lo, sem aviso previo",Pode ser modificado apos consenso com o informante,E definido pelo proprio Recenseador no primeiro dia de campo,B,A apostila e categorica: o recenseador nunca pode alterar o perimetro do setor.
26,Censo,Instrumentos de trabalho e navegacao em campo,Apostila - Cap. 6 e 7,A 'lista previa' de enderecos no DMC:,E fixa e nao pode ser alterada em campo,"Deve ser atualizada pelo Recenseador (confirmando, incluindo e excluindo enderecos)",So existe em setores urbanos,E elaborada exclusivamente pelo ACS,Substitui o questionario,B,"O recenseador confirma, inclui e exclui enderecos da lista previa a partir do trabalho de campo."
27,Censo,Instrumentos de trabalho e navegacao em campo,Apostila - Cap. 6 e 7,"O instrumento que traz a visao geral de todos os setores censitarios do municipio e suas vias de acesso, ficando fixado no posto de coleta, e:",O Manual do Recenseador,O Mapa Municipal Estatistico (MME),O Descritivo do setor,O Dispositivo Movel de Coleta (DMC),O Geocodigo do setor,B,"O MME serve para planejar a chegada ao setor, mostrando todos os setores do municipio e vias de acesso."
28,Censo,Instrumentos de trabalho e navegacao em campo,Apostila - Cap. 6 e 7,"No Dispositivo Movel de Coleta (DMC), o mapa do setor censitario digital e exibido por meio de:",Uma foto tirada pelo proprio recenseador,Uma imagem obtida por satelites,Um desenho manual do ACS,Uma planta baixa do imovel,Um croqui feito na Sede,B,"O mapa digital do setor no DMC e exibido a partir de imagem de satelite, com os limites do setor destacados."
29,Censo,Divisao politico-administrativa e Setor Censitario,Apostila - Cap. 8,"O Brasil possui atualmente quantos municipios, segundo a apostila?",645,10.744,5.569,26,566,C,"Sao 5.569 municipios brasileiros, segundo a apostila."
30,Censo,Divisao politico-administrativa e Setor Censitario,Apostila - Cap. 8,"Os distritos, no aspecto politico-administrativo, sao criados por:",Lei federal,"Legislacao municipal, sem autonomia administrativa","Decreto estadual, com autonomia total",Portaria do IBGE,Resolucao do TSE,B,"Os distritos sao criados por legislacao municipal e nao possuem autonomia administrativa, subordinados ao governo municipal."
31,Censo,Divisao politico-administrativa e Setor Censitario,Apostila - Cap. 8,Um geocodigo de setor censitario reune informacoes sobre:,Apenas o estado,"Estado, Municipio, Distrito, Subdistrito e numero do setor",Apenas CEP e logradouro,Latitude e longitude somente,Nome do produtor e area do estabelecimento,B,"O geocodigo identifica de forma unica o setor, reunindo UF, municipio, distrito, subdistrito e numero do setor."
32,Censo,Divisao politico-administrativa e Setor Censitario,Apostila - Cap. 8,O numero aproximado de subdistritos no Brasil e:,5.569,10.744,645,27,566,C,"Existem aproximadamente 645 subdistritos, geralmente em grandes cidades."
33,Censo,Divisao politico-administrativa e Setor Censitario,Apostila - Cap. 8,"O Distrito Federal, na organizacao politico-administrativa, e:",Um municipio comum,Uma UF onde se localiza a sede do Governo Federal,Um distrito subordinado a Goias,Uma agencia do IBGE,Um subdistrito de Brasilia,B,O DF e a Unidade Federativa onde se localiza a sede do Governo Federal.
34,Censo,Divisao politico-administrativa e Setor Censitario,Apostila - Cap. 8,O que caracteriza os Distritos na divisao politico-administrativa?,Dividem integralmente os estados,"Dividem integralmente os municipios em areas menores, sem autonomia administrativa",Sao unidades federativas autonomas,Substituem os municipios,"Sao definidos pelo IBGE, nao pela prefeitura",B,Os distritos dividem integralmente os municipios em areas menores e nao tem autonomia administrativa.
35,Censo,Divisao politico-administrativa e Setor Censitario,Apostila - Cap. 8,A menor unidade territorial usada pelo IBGE para fins estatisticos e:,O Distrito,O Subdistrito,O Setor Censitario,O Municipio,A Unidade da Federacao,C,"O Setor Censitario e a menor area geografica definida pelo IBGE, unidade territorial de coleta do censo."
36,Censo,Estruturas territoriais: situacao e tipos de setores,Apostila - Cap. 9,Um 'Nucleo Urbano' e definido como:,Area com mais de 90% da populacao urbana,"Aglomeracao urbana separada das cidades/vilas por menos de 1km, ou com caracteristicas urbanas mesmo superando essa distancia",Area exclusivamente industrial,Sinonimo de aglomerado rural,Territorio sem presenca de domicilios,B,"Nucleo urbano e aglomeracao separada por menos de 1km da cidade, ou que apresente caracteristicas urbanas mesmo alem dessa distancia."
37,Censo,Estruturas territoriais: situacao e tipos de setores,Apostila - Cap. 9,A Agrovila e um setor censitario:,Exclusivo de areas urbanas de alta densidade,"Com mais de 50 domicilios associados a Projetos de Assentamento, muito importante para o Censo Agro",Sem relevancia para o Censo Agropecuario,Reservado exclusivamente a comunidades quilombolas,Definido por conter menos de 10 domicilios,B,Agrovilas concentram domicilios de familias de assentamentos rurais e sao muito relevantes para o Censo Agro.
38,Censo,Estruturas territoriais: situacao e tipos de setores,Apostila - Cap. 9,"Para ser considerado 'Agrupamento Indigena', o setor deve ter:",Qualquer numero de indigenas,15 ou mais indigenas residentes com vinculos familiares/comunitarios,50 ou mais indigenas,Apenas terras oficialmente demarcadas,No minimo 100 habitantes,B,O Agrupamento Indigena e composto por 15 ou mais individuos indigenas com vinculos familiares ou comunitarios.
39,Censo,Estruturas territoriais: situacao e tipos de setores,Apostila - Cap. 9,Setores do tipo 'Unidade Prisional' sao considerados quando abrigam:,Mais de 10 presos,Mais de 50 presos permanentes,Qualquer quantidade de presos,Apenas presidios federais,Menos de 5 presos,B,Sao considerados setores do tipo Unidade Prisional aqueles com mais de 50 presos permanentes.
40,Censo,Estruturas territoriais: situacao e tipos de setores,Apostila - Cap. 9,"Massa d'agua, como classificacao de setor, significa:",Area de coleta obrigatoria do censo,"Grandes porcoes de agua que nao sao area de coleta, mas podem interferir na operacao",Sinonimo de area rural,Tipo de estabelecimento aquicola,Area urbana de baixa densidade,B,"Massas d'agua sao grandes porcoes de agua interiores ou costeiras, nao sendo area de coleta."
41,Censo,Estruturas territoriais: situacao e tipos de setores,Apostila - Cap. 9,"Um setor caracterizado pelo carater aglomerado de domicilios, normalmente distantes entre si nao mais que 50m e separados da franja das cidades por mais de 1km, e classificado como:",Nucleo urbano,Aglomerado rural,Area urbana de alta densidade,Agrovila,Massa d'agua,B,"Essa e a definicao de Aglomerado rural, dentro da categoria Area rural."
42,Censo,Estruturas territoriais: situacao e tipos de setores,Apostila - Cap. 9,"Setores do tipo 'Alojamento/Acampamento' exigem, no minimo, quantos habitantes residindo ha mais de um ano no local para essa classificacao?",10,25,50,100,150,C,Alojamento e acampamento devem possuir no minimo 50 habitantes residindo ha mais de um ano.
43,Censo,Povos e Comunidades Tradicionais (PCTs) e AIOs,Apostila - Cap. 10,O pertencimento etnico de um informante deve ser registrado:,Conforme a avaliacao visual do Recenseador,"Conforme a declaracao do proprio informante (autodeclaratorio), sem julgamentos",Somente se comprovado por documento oficial,Apenas se confirmado pela FUNAI,"Nunca deve ser registrado, por sigilo",B,"O pertencimento etnico e autodeclaratorio, registrado conforme a declaracao do informante, sem questionamentos."
44,Censo,Povos e Comunidades Tradicionais (PCTs) e AIOs,Apostila - Cap. 10,As Areas de Interesse Operacional (AIOs):,Seguem exatamente a setorizacao do IBGE,Sao sempre menores que um setor censitario,"Nao seguem a setorizacao do IBGE, podendo cobrir um municipio inteiro",So existem em areas urbanas,Substituem o setor censitario oficialmente,C,"As AIOs sao recortes independentes da setorizacao, podendo ser menores, maiores ou cobrir um municipio inteiro."
45,Censo,Povos e Comunidades Tradicionais (PCTs) e AIOs,Apostila - Cap. 10,A norma internacional que garante consulta previa a PCTs e:,Convencao no 169 da OIT,Declaracao Universal dos Direitos Humanos,Acordo de Paris,Convencao de Genebra,Protocolo de Kyoto,A,A Convencao 169 da OIT determina a obrigatoriedade de consulta previa a povos e comunidades tradicionais.
46,Censo,Povos e Comunidades Tradicionais (PCTs) e AIOs,Apostila - Cap. 10,"De acordo com o Censo Demografico 2022, qual o percentual de indigenas em terras indigenas que falam portugues no domicilio?",30%,50%,"67,1%",90%,100%,C,"O percentual citado na apostila e de 67,1%."
47,Censo,Povos e Comunidades Tradicionais (PCTs) e AIOs,Apostila - Cap. 10,"Sao exemplos de PCTs citados na apostila, EXCETO:",Caicaras,Vazanteiros,Pantaneiros,Morroquianos,Sindicalistas rurais,E,Sindicalistas rurais nao constam na lista de PCTs da apostila.
48,Censo,Povos e Comunidades Tradicionais (PCTs) e AIOs,Apostila - Cap. 10,"Um 'Agrupamento Quilombola', como tipo de setor censitario, e composto por quantos individuos autodeclarados quilombolas, no minimo?",5,10,15,20,30,C,O Agrupamento Quilombola exige 15 ou mais individuos autodeclarados quilombolas com vinculos familiares/comunitarios.
49,Censo,Povos e Comunidades Tradicionais (PCTs) e AIOs,Apostila - Cap. 10,As condicoes de acesso e deslocamento em areas de PCTs sao previamente negociadas com:,Apenas a policia local,"Lideranca comunitarias, associacoes e orgaos que atuam em parceria com o IBGE",Exclusivamente o Exercito,"O IBAMA, sem outros envolvidos",Nenhuma negociacao previa e necessaria,B,"O acesso e negociado com liderancas, associacoes e orgaos parceiros, como FUNAI e SESAI."
50,Censo,Endereco e Coordenadas Geograficas,Apostila - Cap. 11 e 12,O padrao de enderecamento do IBGE e chamado de:,CEP Estatistico,CNEFE (Cadastro Nacional de Enderecos para Fins Estatisticos),SIGC,DMC,MME,B,O CNEFE e o padrao oficial de enderecamento adotado pelo IBGE.
51,Censo,Endereco e Coordenadas Geograficas,Apostila - Cap. 11 e 12,A Latitude varia de:,"0 a 180 graus, Leste ou Oeste","0 a 90 graus, Norte ou Sul","0 a 360 graus, sem direcao","-90 a 90 graus, Leste ou Oeste","0 a 100 graus, Norte ou Sul",B,"A latitude vai de 0 a 90 graus, podendo ser Norte ou Sul, medida a partir da Linha do Equador."
52,Censo,Endereco e Coordenadas Geograficas,Apostila - Cap. 11 e 12,E INCORRETO afirmar sobre o endereco no Censo Agropecuario:,"O logradouro deve ser registrado sem abreviacoes, preferencialmente pelo nome oficial",E permitido usar nomes de pessoas para identificar componentes do endereco,O ponto de referencia e obrigatorio quando nao ha numero ou complemento que localize o endereco,"O CEP pode estar associado a uma localidade, logradouro ou ate uma unica edificacao",O complemento diferencia unidades que compartilham a mesma numeracao no logradouro,B,"E vedado identificar pessoas nos componentes do endereco, por sigilo estatistico."
53,Censo,Endereco e Coordenadas Geograficas,Apostila - Cap. 11 e 12,"Nas areas rurais, a captura de coordenadas geograficas deve ser feita:","Automaticamente pelo sistema, sem interferencia do recenseador","Manualmente, com o recenseador posicionado no local correto",Apenas por tecnicos da Diretoria de Geociencias,Somente uma vez por municipio,E dispensavel em setores rurais,B,"A captura em areas rurais e manual, feita pelo recenseador posicionado idealmente na entrada da sede do estabelecimento."
54,Censo,Endereco e Coordenadas Geograficas,Apostila - Cap. 11 e 12,A Longitude e medida a partir de qual referencia?,Linha do Equador,Tropico de Capricornio,Meridiano de Greenwich,Polo Sul,Circulo Polar Artico,C,"A longitude e medida a partir do Meridiano de Greenwich, variando de 0 a 180 graus, Leste ou Oeste."
55,Censo,Endereco e Coordenadas Geograficas,Apostila - Cap. 11 e 12,"O componente do endereco que complementa a informacao de numero e modificador, diferenciando unidades com a mesma posicao no logradouro, e chamado de:",Localidade,CEP,Ponto de referencia,Complemento,Geocodigo,D,"O Complemento (lote, gleba, casa, fundos etc.) diferencia unidades que compartilham numero no logradouro."
56,Censo,Endereco e Coordenadas Geograficas,Apostila - Cap. 11 e 12,O uso de ponto de referencia no endereco e obrigatorio quando:,O informante recusa dar o endereco completo,O endereco nao possui numero ou complemento que permita sua localizacao,O CEP e desconhecido,O recenseador prefere nao anotar o logradouro,Ha mais de uma edificacao no terreno,B,O ponto de referencia e obrigatorio nos casos em que o endereco nao tem numero ou complemento que o localize.
57,Censo,"Estabelecimento agropecuario, subsistencia e produtores sem area",Apostila - Cap. 13 e 14,Um estabelecimento agropecuario e caracterizado independentemente de:,Apenas do tamanho,Apenas da forma juridica,"Tamanho, forma juridica, localizacao e valor da producao",Apenas de estar em area rural,Apenas de ter CNPJ,C,"O conceito de estabelecimento agropecuario independe de tamanho, forma juridica, localizacao ou valor de producao."
58,Censo,"Estabelecimento agropecuario, subsistencia e produtores sem area",Apostila - Cap. 13 e 14,A criacao exclusiva de caes e gatos em uma propriedade e:,"Sempre recenseavel, como atividade pecuaria",Recenseavel apenas se houver mais de 10 animais,Nao recenseavel,Recenseavel somente em area rural,Recenseavel se o proprietario autorizar,C,"Criacao exclusiva de caes, gatos e passaros nao e considerada atividade agropecuaria."
59,Censo,"Estabelecimento agropecuario, subsistencia e produtores sem area",Apostila - Cap. 13 e 14,A definicao de uma propriedade como 'recenseavel' ou nao e feita:,"Pelo Agente Censitario Regional, antes da visita",Pelo questionario de abordagem inicial aplicado pelo Recenseador,"Exclusivamente pelo supervisor, por telefone",Pela observacao visual do Recenseador atraves da cerca,Pela prefeitura do municipio,B,"A classificacao ocorre pelo questionario de abordagem inicial, nunca por decisao direta e visual do recenseador."
60,Censo,"Estabelecimento agropecuario, subsistencia e produtores sem area",Apostila - Cap. 13 e 14,'Producao de subsistencia' e aquela:,Destinada exclusivamente a exportacao,"Voltada para atender as necessidades vitais do produtor e da familia, podendo eventualmente ser comercializada em parte",Sempre destinada 100% a venda,Que nunca pode ser comercializada,Restrita a grandes propriedades,B,"A producao de subsistencia atende as necessidades vitais do produtor/familia, podendo ter parte comercializada."
61,Censo,"Estabelecimento agropecuario, subsistencia e produtores sem area",Apostila - Cap. 13 e 14,"Um apicultor que instala colmeias em matas de terceiros, sem area propria, e classificado como:",Nao recenseavel,"Produtor sem area, devendo ser recenseado normalmente",Estabelecimento industrial,Situacao irregular que impede a coleta,Caso exclusivo de PCT,B,"Produtores sem area propria, como apicultores em matas de terceiros, sao recenseados normalmente."
62,Censo,"Estabelecimento agropecuario, subsistencia e produtores sem area",Apostila - Cap. 13 e 14,A criacao de animais destinados a producao de soros e vacinas e considerada:,Atividade agropecuaria recenseavel normalmente,Atividade NAO recenseavel,Atividade recenseavel apenas se em area rural,Atividade de subsistencia,Produtor sem area,B,"Animais destinados a experiencias de laboratorio, soros e vacinas nao sao considerados atividade agropecuaria."
63,Censo,"Estabelecimento agropecuario, subsistencia e produtores sem area",Apostila - Cap. 13 e 14,O pesque-pague e considerado estabelecimento agropecuario quando:,Ha apenas compra de peixes ja criados para revenda,Ha criacao e engorda de peixes no local,O local tem menos de 1 hectare,O dono mora na sede,Nunca e considerado estabelecimento,B,O pesque-pague so e estabelecimento agropecuario se houver efetivamente criacao e engorda de peixes.
64,Censo,Situacoes especiais,Apostila - Cap. 15,"Em um confinamento de gado (boitel) so com animais de terceiros, sem rebanho proprio nem outra atividade:",E sempre um estabelecimento agropecuario independente,Nao e considerado estabelecimento agropecuario; os animais sao contados no estabelecimento dos respectivos donos,E considerado propriedade industrial,Deve ser recenseado como produtor sem area,E excluido do Censo sem necessidade de registro,B,"Sem animais proprios nem outra atividade, o boitel nao e estabelecimento; os animais sao contados no estabelecimento do dono."
65,Censo,Situacoes especiais,Apostila - Cap. 15,"Para que areas nao continuas sejam um unico estabelecimento, e necessario atender simultaneamente a quantas condicoes?",2,3,4,5,6,C,"As 4 condicoes sao: mesmo municipio, mesmos recursos tecnicos, mesmo pessoal e mesma administracao."
66,Censo,Situacoes especiais,Apostila - Cap. 15,"Quando ha disputa judicial (litigio) sobre um estabelecimento, considera-se como produtor:",O herdeiro mais velho,Quem residir na sede,"A pessoa que, na data de referencia, era responsavel economicamente pela exploracao","O inventariante, obrigatoriamente",Ninguem; a area fica fora do censo,C,"Em litigio, considera-se produtor quem era responsavel economicamente pela exploracao na data de referencia."
67,Censo,Situacoes especiais,Apostila - Cap. 15,O conceito de 'Sede' e usado para definir:,O local de moradia de qualquer trabalhador rural,Em qual setor/municipio recensear um estabelecimento cuja area cruza mais de um setor,A capital do estado,O orgao fiscalizador do censo,A localizacao da Superintendencia Estadual,B,A Sede define onde recensear um estabelecimento cuja area se estenda por mais de um setor ou municipio.
68,Censo,Situacoes especiais,Apostila - Cap. 15,Estabelecimentos que nao tiveram producao durante o periodo de referencia (mas existiam na data de referencia):,Nao devem ser recenseados,"Devem ser recenseados, registrando o motivo da ausencia de producao",Sao automaticamente excluidos pelo sistema,So sao recenseados se tiverem mais de 50 ha,Devem aguardar o proximo censo,B,"Devem ser recenseados, com o motivo da ausencia de producao registrado no campo Observacoes do DMC."
69,Censo,Situacoes especiais,Apostila - Cap. 15,"Em uma propriedade rural onde um mesmo produtor explora areas de diferentes proprietarios (por aluguel, parceria ou comodato), pode-se considerar:","Sempre estabelecimentos separados, um por proprietario","Um unico estabelecimento agropecuario, se atendidas as condicoes necessarias",Situacao irregular que impede o censo,Um caso exclusivo de exploracao comunitaria,Um caso que exige suspensao da coleta,B,"Mais de uma propriedade rural pode formar um unico estabelecimento agropecuario, atendidas as condicoes de mesma unidade de exploracao."
70,Censo,Situacoes especiais,Apostila - Cap. 15,Quando areas nao continuas de um mesmo produtor estao totalmente localizadas em municipios diferentes:,Formam sempre um unico estabelecimento,Cada uma sera considerada um estabelecimento agropecuario diferente,Ficam automaticamente fora do censo,"Sao registradas apenas no municipio da sede, ignorando a outra",Devem ser somadas sem distincao de municipio,B,"Areas totalmente em municipios distintos sao tratadas como estabelecimentos diferentes, evitando duplicidade de dados."
71,Jornalismo,Comunicacao e jornalismo: modelos teoricos e processos de significacao,Edital 1,O modelo de Lasswell resume o processo comunicacional na formula:,Emissor-mensagem-ruido,"Quem diz o que, em que canal, para quem, com que efeito",Significante e significado,Codificacao e decodificacao apenas,Estimulo-resposta behaviorista,B,"O modelo funcionalista de Lasswell resume o processo em: quem diz o que, em que canal, para quem, com que efeito."
72,Jornalismo,Comunicacao e jornalismo: modelos teoricos e processos de significacao,Edital 1,"Na semiotica de Saussure, o signo linguistico e composto por:",Fonte e canal,Significante e significado,Emissor e receptor,"Icone, indice e simbolo",Ruido e redundancia,B,"Para Saussure, o signo linguistico une significante (forma) e significado (conceito)."
73,Jornalismo,Comunicacao e jornalismo: modelos teoricos e processos de significacao,Edital 1,A Teoria da Recepcao / Estudos Culturais destaca que:,O publico e uma massa passiva e homogenea,"O receptor participa ativamente da producao de sentido, a partir de seu repertorio cultural",A mensagem tem sempre um unico significado possivel,O emissor controla totalmente o efeito da mensagem,A comunicacao e sempre unidirecional,B,Os Estudos Culturais e a Teoria da Recepcao entendem o receptor como ativo na producao de sentido.
